Symbol,Name,GICS Sector,Ret,Dividend Yield (Forward),PE Ratio (Forward),Price to Book Value,Market Cap (millions),Beta (3Y),Return on Equity (TTM)
CMI,Cummins,Industrials,-0.0122,0.0301,10.49090408,3.154832235,23326.89948,0.8924,0.125609
CMS,CMS Energy,Utilities,-0.0017,0.0317,18.90811052,2.715863653,12482.0164,0.0495,0.112099
CNC,Centene,Health Care,0.0001,#N/A,16.7668275,3.228640934,24224.43502,1.012,0.153853
CNP,CenterPoint Energy,Utilities,-0.0025,0.0433,16.11667872,2.279909169,11073.76227,0.6619,0.435523
COF,Capital One Financial,Financials,-0.0156,0.0169,9.355521123,0.932823345,45899.92167,1.1918,0.051332
COG,Cabot Oil & Gas,Energy,0.0042,0.0104,20.48612045,4.234413497,10190.07964,0.4555,0.043292
COL,Rockwell Collins,Industrials,-0.0058,0.0095,19.22404491,3.411672018,22629.32055,0.7104,0.168153
COO,The Cooper Companies,Health Care,-0.0139,0.0003,19.05867562,3.491347291,11019.72283,0.9976,0.057494
COP,ConocoPhillips,Energy,0.0026,0.0167,17.18212984,2.587876348,79049.67249,1.32,-0.017579
COST,Costco Wholesale,Consumer Staples,0.0095,0.0116,28.84218737,7.145926614,86773.01964,1.0552,0.270435
COTY,Coty,Consumer Staples,-0.029,0.0381,19.19326965,1.042118195,9899.586994,-0.3329,-0.030895
CPB,Campbell Soup,Consumer Staples,-0.022,0.0421,11.64651349,5.161203897,10023.13752,-0.013,0.641822
CRM,Salesforce.com,Information Technology,0.0038,#N/A,58.14864015,9.008269295,99631.67355,1.2114,0.052633
CSCO,Cisco Systems,Information Technology,-0.0021,0.0302,16.87538782,4.403486829,205468.9365,1.2278,-0.021457
CSX,CSX,Industrials,unch,0.0134,19.79195904,3.939008811,56635.37143,1.2164,0.459083
CTAS,Cintas,Industrials,0.003,0.0088,26.87751911,6.998791987,20254.55958,0.9498,0.296403
CTL,CenturyLink,Telecommunication Services,-0.0019,0.1218,16.95413333,0.802135714,18804.29098,0.6461,0.077707
CTSH,Cognizant Tech Solns,Information Technology,0.0196,0.0104,17.17852793,4.107368881,45131.79231,0.7618,0.13813
CTXS,Citrix Systems,Information Technology,-0.0092,#N/A,20.55685294,28.16267424,14739.74246,1.3755,0.067294
CVS,CVS Health,Consumer Staples,0.0023,0.0312,9.053621232,1.664857769,64384.21015,0.8403,0.186043
CVX,Chevron,Energy,0.007,0.0362,15.68942004,1.559937154,234541.6756,1.1737,0.068775
CXO,Concho Resources,Energy,0.0066,#N/A,29.19054968,1.934612914,18839.69411,1.2322,0.128073
D,Dominion Energy,Utilities,0.0214,0.0527,15.39328708,2.306004278,40791.01925,0.2946,0.177158
DAL,Delta Air Lines,Industrials,-0.0048,0.0224,8.922982279,3.056731292,38383.40889,0.9949,0.263185
DE,Deere,Industrials,-0.0114,0.018,16.21042666,4.81332757,50108.45641,0.9203,0.200683
DFS,Discover Financial,Financials,-0.0199,0.0189,9.619902775,2.521549413,25991.81439,1.3686,0.20895
DG,Dollar General,Consumer Discretionary,-0.0152,0.013,15.54042446,4.040632484,25198.56535,0.7223,0.276978
DGX,Quest Diagnostics,Health Care,-0.0063,0.0185,16.15219445,2.8813689,14493.05345,1.2623,0.163053
DHI,D.R. Horton,Consumer Discretionary,0.0012,0.0118,10.81123307,1.933357092,15851.43005,0.9253,0.148452
DHR,Danaher,Health Care,-0.0018,0.0064,22.88357632,2.622695435,71310.30117,0.9836,0.10026
DIS,Walt Disney,Consumer Discretionary,-0.0136,0.0169,14.07406425,3.292924232,148679.6992,1.1541,0.265493
DISCA,Discovery,Consumer Discretionary,-0.013,#N/A,8.163314367,1.439583926,11356.60368,1.4705,-0.096233
DISCK,Discovery,Consumer Discretionary,-0.0042,#N/A,7.806672008,1.366705308,10782.24674,1.3219,-0.096233
DISH,DISH Network,Consumer Discretionary,-0.0058,#N/A,11.20838154,1.877184499,13750.32254,0.9086,0.345996
DLR,Digital Realty Trust,Real Estate,-0.0388,0.0372,70.3311572,2.477320127,22306.74776,0.4941,0.038216
DLTR,Dollar Tree Stores,Consumer Discretionary,-0.0071,#N/A,14.98649509,2.681021968,19721.10829,0.6629,0.260602
DOV,Dover,Industrials,-0.0029,0.0241,16.29198045,2.724647931,12112.81848,1.1576,0.182404
DPS,Dr Pepper Snapple Group,#N/A,-0.0106,0.0193,23.48177377,8.710250312,21653.58922,0.8381,0.463466
DRE,Duke Realty,Real Estate,-0.0059,0.0281,69.27618384,2.252386403,10211.06088,0.7963,0.374505
DRI,Darden Restaurants,Consumer Discretionary,0.0005,0.0285,16.47449482,5.199971309,11049.45081,0.0581,0.266411
DTE,DTE Energy,Utilities,-0.0034,0.0349,17.14961767,1.82215122,18017.65207,0.1456,0.116353
